person_id,description
0001,"female, sleeveless dress, light beige, barefoot, long dark hair, no visible accessories"
0002,"male, red t-shirt, blue denim shorts, dark-colored sneakers, black backpack, no visible glasses, no visible hat"
0003,"female, black short-sleeved top, olive green shorts, barefoot, white crossbody bag"
0004,"male, red t-shirt, black shorts, black sneakers, black backpack"
0005,"male, short-sleeved t-shirt, striped pattern, dark gray, blue shorts, red and white side stripes, flip-flops, no visible accessories, no backpack, no glasses, no hat"
0006,"male, white t-shirt, light gray shorts, brown sandals, backpack, glasses"
0007,"male, t-shirt, gray, shorts, dark blue, sneakers, red, shoulder bag, no glasses, no hat"
0008,"female, white t-shirt with panda graphic, green shorts, brown shoes, no visible backpack, no visible glasses, no visible hat"
0009,"female, white t-shirt, dark blue shorts, white sneakers, black backpack, no visible glasses, no visible hat"
0010,"female, red short-sleeved top, blue ruffled skirt, blue high-heeled shoes, white shoulder bag, long dark hair in ponytail, no visible glasses or hat"
0011,"female, red short-sleeved t-shirt, light gray shorts, white sneakers, red backpack"
0012,"male, short-sleeved t-shirt, dark shorts, black sneakers, balding head, no visible backpack, no visible glasses, no visible hat"
0013,"male, striped shirt, purple and white, dark pants, sandals, no visible backpack, no visible glasses, no visible hat"
0014,"male, dark-colored short-sleeved shirt, dark-colored shorts, dark-colored footwear, red backpack, no visible glasses, no visible hat"
0015,"male, purple short-sleeved shirt, gray pants, white cap, dark shoes, red bag on bicycle handlebars"
0016,"male, white t-shirt, black shorts, gray sneakers, black backpack, no visible glasses, no visible hat"
0017,"female, t-shirt, green, shorts, green, flip-flops, backpack, no glasses, no hat"
0018,"female, purple short-sleeved top, blue jeans, dark-colored boots, carrying two striped handbags, no visible glasses or hat"
0019,"female, red short-sleeved top, dark patterned skirt, light brown sandals, red backpack with white stripe, no visible glasses or hat"
0020,"male, dark-colored short-sleeved shirt, dark-colored shorts, flip-flops, no visible backpack, no visible glasses, no visible hat"
0021,"male, dark-colored t-shirt, dark-colored shorts, dark-colored sneakers, red backpack, dark-colored cap, no visible glasses"
0022,"male, white t-shirt with black graphic, dark blue jeans, white sneakers, black backpack with green water bottle, no glasses, no hat"
0023,"male, striped polo shirt, white trousers, dark shoes, carrying black briefcase, no visible glasses or hat"
0024,"female, polo shirt, purple, jeans, pink sneakers, no visible accessories, no glasses, no hat, no backpack"
0025,"male, short-sleeved button-up shirt, purple, jeans, dark-colored casual shoes, no visible accessories, no glasses, no hat, no backpack"
0026,"female, short-sleeved polo shirt, purple, black pants, white sneakers, no visible accessories, no glasses, no hat, no backpack"
0027,"female, short-sleeved polo shirt, purple, black pants, red and white sneakers, no visible accessories, no glasses, no hat, no backpack"
0028,"female, polo shirt, purple, pants, black, white sneakers, no visible accessories"
0029,"female, light brown long-sleeved shirt, dark pants, no visible footwear, no visible accessories"
0030,"male, blue t-shirt, dark shorts, white sneakers, no visible backpack, no visible glasses, no visible hat"
0031,"male, light gray short-sleeved shirt, light beige pants, dark shoes, black backpack, no visible glasses, no visible hat"
0032,"female, white long-sleeved shirt, light green vest, dark gray capri pants, white sneakers, brown backpack, no visible glasses, no visible hat"
0033,"male, red short-sleeved shirt, black shorts, white sneakers, black backpack, no visible glasses, no visible hat"
0034,"male, short-sleeved striped t-shirt, dark grey trousers, dark grey sneakers, dark-rimmed glasses, dark cap, no visible backpack"
0035,"male, short-sleeved shirt, white, trousers, black, sneakers, red, no glasses, no hat, no backpack, no visible accessories"
0036,"female, white t-shirt with black graphic, black shorts, white sneakers, blue backpack, dark hair in ponytail, no visible glasses, no visible hat"
0037,"male, dark t-shirt, dark pants, dark shoes, light blue baseball cap, dark backpack"
0038,"female, white t-shirt, light gray shorts, red and white sneakers, no visible accessories, no visible hat or glasses"
0039,"male, patterned short-sleeve shirt, dark pants, brown shoes, backpack, no visible glasses, no visible hat"
0040,"male, light gray short-sleeved shirt, dark pants, dark shoes, no visible backpack, no visible glasses, no visible hat"
0041,"male, striped polo shirt, blue and white horizontal stripes, blue jeans, green and white sneakers, black backpack, glasses, short dark hair"
0042,"male, yellow t-shirt, dark blue shorts, white sneakers, black backpack"
0043,"female, black short-sleeved top, black capri pants, black flat shoes, red handbag, white tote bag, no visible glasses, no visible hat, no visible backpack"
0044,"male, striped shirt, red and white stripes, denim shorts, dark-colored shoes, backpack, no glasses, no hat"
0045,"male, white short-sleeved t-shirt, khaki shorts, black shoes, no visible accessories, no backpack, no glasses, no hat"
0046,"female, striped short-sleeve shirt, black capri pants, brown sandals, backpack with red and white stripes, dark hair, hand near face, carrying a black bag with white logo"
0047,"male, gray t-shirt, black shorts, sandals, glasses"
0048,"male, white short-sleeved shirt, black trousers, brown shoes, no visible accessories, no glasses, no hat, no backpack"
0049,"female, green dress, brown sandals, shoulder bag, glasses"
0050,"female, black short-sleeved t-shirt with pink graphic, blue jeans, pink sneakers, white tote bag, dark hair tied back, no visible glasses or hat, no backpack"
0051,"female, short-sleeved t-shirt, light green, shorts, light pink, socks, white sneakers, hair tied back, no visible accessories"
0052,"male, red short-sleeved shirt, gray pants, dark-colored shoes, glasses, carrying a green and white bag over the shoulder"
0053,"male, dark blue t-shirt, gray shorts, dark-colored sandals, black backpack, no visible glasses, no visible hat"
0054,"male, dark short-sleeved shirt, dark trousers, dark shoes, no visible backpack, no visible glasses, no visible hat"
0055,"male, yellow t-shirt, dark blue shorts, dark-colored sneakers, black cap, no visible glasses, no visible backpack"
0056,"female, white blouse, black skirt, flip flops, backpack, long hair in ponytail"
0057,"male, light gray short-sleeved shirt, dark shorts, dark shoes, backpack, no visible glasses or hat"
0058,"female, white t-shirt, green shorts, flip-flops, shoulder bag"
0059,"male, red short-sleeved shirt, dark shorts, red sneakers, blue backpack"
0060,"female, white t-shirt, blue jeans, flip flops, teal backpack, dark hair in ponytail, no glasses, no hat"
0061,"male, gray t-shirt, black shorts, flip-flops, no visible accessories, no hat, no glasses, no backpack"
0062,"female, dress, light gray, white sneakers, headband, no backpack, no glasses, no visible hat"
0063,"female, white short-sleeved shirt, black pants, white sneakers, brown shoulder bag"
0064,"female, purple short-sleeved top, black pants, white sneakers, red shoulder bag, no visible glasses, no visible hat, no visible backpack"
0065,"female, dress, multicolored floral pattern, teal sneakers, black backpack, no visible glasses, no visible hat"
0066,"female, white short-sleeved top, gray shorts, flip-flops, bright yellow shoulder bag, dark hair, no visible glasses, no visible hat, no visible backpack"
0067,"male, tank top, gray, shorts, dark blue, sneakers, teal, no backpack, no glasses, no hat"
0068,"male, t-shirt, green, shorts, brown, sneakers, red, no glasses, no hat, no backpack"
0069,"male, gray t-shirt, beige shorts, brown sandals, black backpack"
0070,"male, yellow t-shirt, gray pants, white sneakers, no visible accessories, no hat, no glasses, no backpack"
0071,"male, yellow t-shirt, dark pants, no visible footwear, backpack, no visible glasses, no visible hat"
0072,"female, tank top, light gray, shorts, white, flip flops, backpack, dark brown, no glasses, no hat"
0073,"female, gray t-shirt, blue jeans, white cap, light-colored slip-on shoes, no visible backpack, no visible glasses"
0074,"male, gray long-sleeved shirt, gray pants, gray shoes, no visible accessories, no hat, no glasses, no backpack"
0075,"female, short-sleeved shirt, red, pants, black, sneakers, backpack, dark-colored, no glasses, no hat"
0076,"male, short-sleeved shirt, purple, shorts, gray, sandals, no visible accessories, balding, carrying black bag"
0077,"male, short-sleeved uniform shirt, gray, trousers, black, cap, no visible backpack, no visible glasses, no visible visible accessories"
0078,"male, gray t-shirt, black shorts, flip-flops, no visible accessories, no hat, no glasses, no backpack"
0079,"male, black t-shirt, dark shorts, white sneakers, black backpack"
0080,"male, gray t-shirt, black shorts, barefoot, no visible accessories, no hat, no glasses, no backpack"
0081,"male, t-shirt, light green, shorts, black, sneakers, backpack, no glasses, no hat"
0082,"male, white t-shirt, camouflage shorts, white sneakers, glasses, no visible backpack, no visible hat"
0083,"female, light-colored short-sleeved shirt, dark-colored shorts, dark-colored shoes, backpack, long hair, no visible glasses, no visible hat"
0084,"female, white short-sleeved shirt, dark green pants, dark-colored shoes, long dark hair, no visible backpack, no visible glasses, no visible hat"
0085,"female, white short-sleeved shirt, dark brown or black pants, pink shoulder bag, no visible footwear, long dark hair, no visible glasses or hat"
0086,"female, tank top, light gray, shorts, dark gray, flip flops, no visible accessories, no glasses, no hat, no backpack"
0087,"female, white t-shirt, dark shorts, no visible footwear, no visible accessories"
0088,"male, black tank top, khaki shorts, flip flops, backpack, sunglasses, cap"
0089,"female, short-sleeved polo shirt, purple, jeans, pink sneakers, no visible accessories, no glasses, no hat, no backpack"
0090,"male, teal short-sleeved shirt, grayish pants, dark shoes, black cap, no visible backpack, no visible glasses"
0091,"female, light gray dress, flat sandals, pink shoulder bag, long dark hair, no glasses, no hat, no backpack"
0092,"male, short-sleeved button-up shirt, light pink, dark trousers, dark shoes, no visible accessories, no glasses, no hat, no backpack"
0093,"female, short-sleeved polo shirt, purple, black pants, light-colored flat shoes, dark hair tied back, carrying a patterned tote bag, no visible glasses or backpack"
0094,"male, dark short-sleeved shirt, dark pants, dark shoes, backpack, no glasses, no hat"
0095,"female, white short-sleeved shirt, light blue jeans, white sneakers, black backpack"
0096,"female, short-sleeved dress, dark with light floral pattern, red flat shoes, black handbag, no visible glasses, no visible hat"
0097,"female, t-shirt, grey, track pants, red stripe, sneakers, backpack, no glasses, no hat"
0098,"female, white t-shirt, dark blue shorts, dark-colored shoes, backpack"
0099,"male, dark t-shirt, light-colored shorts, dark shoes, no visible backpack, no visible glasses, no visible hat"
0100,"male, maroon short-sleeved shirt, dark blue shorts, brown sandals, backpack, glasses"
0101,"female, short-sleeved top, purple floral pattern, grey pleated skirt, red flat shoes, dark-colored tote bag, long dark hair tied back, no visible glasses or hat"
0102,"female, red sleeveless top, dark blue jeans, dark-colored shoes, black backpack, dark-colored cap"
0103,"female, short-sleeved t-shirt, black and white, patterned leggings, light brown sandals, no visible backpack, no visible glasses, no visible hat"
0104,"female, short-sleeved top, light gray and white striped, shorts, light gray and white striped, flip flops, no visible backpack, no visible glasses, no visible hat"
0105,"male, red short-sleeved polo shirt, grey trousers, dark-colored shoes, no visible accessories, balding head"
0106,"male, plaid short-sleeved shirt, gray shorts, white sneakers, shoulder bag"
0107,"female, white short-sleeved top, black pleated skirt, pink flat shoes, no visible accessories, no backpack, no glasses, no hat"
0108,"male, gray t-shirt, dark shorts, brown shoes, glasses"
0109,"female, light green short-sleeved t-shirt, dark blue denim shorts, white sneakers, dark hair in a ponytail, no visible accessories, no glasses, no hat, no backpack"
0110,"male, yellow t-shirt, black shorts, green and white sneakers, no visible accessories, no hat, no glasses, no backpack"
0111,"male, white t-shirt, black shorts, dark-colored shoes, no visible backpack, no visible glasses, no visible hat"
0112,"male, short-sleeved jersey, black and yellow stripes, dark green shorts, sandals, no visible accessories, no hat, no glasses, no backpack"
0113,"female, short-sleeved shirt, multicolored pattern, black capri pants, barefoot, carrying a green bag, carrying a red bag, no visible glasses, no visible hat"
0114,"female, short-sleeved t-shirt, teal, black skirt, sandals, backpack, no glasses, no hat"
0115,"male, green t-shirt, light gray shorts, white sneakers, black backpack, no glasses, no hat"
0116,"male, t-shirt, blue, shorts, sandals, no accessories"
0117,"male, green t-shirt, dark green shorts, no visible footwear, no visible accessories"
0118,"female, t-shirt, green shorts, sandals, no visible accessories"
0119,"male, yellow shirt, dark shorts, dark shoes, black backpack"
0120,"female, pink short-sleeved blouse, black capri pants, sandals, no visible accessories, no glasses, no hat"
0121,"male, checkered shirt, black shorts, flip flops, no visible backpack, no visible glasses, no visible hat"
0122,"female, sleeveless top, light gray, shorts, light gray, sandals, red backpack"
0123,"male, dark blue short-sleeved shirt, dark blue or black trousers, dark-colored sneakers with yellow accents, backpack, no visible glasses or hat"
0124,"male, light-colored short-sleeved shirt, dark-colored pants, dark-colored footwear, no visible backpack, no visible glasses, no visible hat"
0125,"male, short-sleeved shirt, light green and white, dark shorts, flip flops, no visible backpack, no visible glasses, no visible hat"
0126,"male, white t-shirt, dark shorts, no visible footwear, black backpack"
0127,"male, short-sleeved t-shirt, teal, shorts, black, sneakers, no visible accessories, no glasses, no hat"
0128,"female, white short-sleeved t-shirt, light gray capri pants, brown flat shoes, pink shoulder bag"
0129,"male, dark-colored t-shirt, dark-colored shorts, sandals, backpack, cap"
0130,"female, black short-sleeved top, black leggings, light brown flat shoes, white Mickey Mouse graphic on top, no visible backpack, no visible glasses, no visible hat"
0131,"male, short-sleeved shirt, dark grey, white stripe on sleeves, dark pants, no visible footwear, no visible accessories, no glasses, no hat, no backpack"
0132,"male, green t-shirt, beige shorts, white sneakers, black backpack, no visible glasses, no visible hat"
0133,"male, green t-shirt, blue jeans, pink sneakers, black shoulder bag, black cap, no glasses"
0134,"male, black t-shirt, dark pants, no visible footwear, no visible accessories"
0135,"male, striped polo shirt, pink and white stripes, dark shorts, dark sneakers, teal baseball cap, backpack, no visible glasses"
0136,"female, short-sleeved shirt, pink, shorts, pink, sandals, hair tied back, no visible backpack, no visible glasses, no visible hat"
0137,"male, short-sleeved button-up shirt, light-colored, dark trousers, dark shoes, no visible accessories, no glasses, no hat, no backpack"
0138,"male, gray t-shirt, khaki shorts, white socks, dark-colored sneakers, black backpack"
0139,"male, dark grey t-shirt with horizontal stripe, dark grey trousers, dark grey shoes, black cap, dark brown backpack, no visible glasses"
0140,"female, tank top, dark brown, skirt, dark brown, sandals, backpack"
0141,"male, white short-sleeved shirt, dark shorts, dark shoes, backpack"
0142,"female, short-sleeved t-shirt, light green, shorts, beige, barefoot, blue shoulder bag, long dark hair, braided, no glasses, no hat, no backpack"
0143,"male, teal hoodie, dark shorts, sandals, backpack"
0144,"female, white t-shirt, dark shorts, flip-flops, crossbody bag, long dark hair, no glasses, no hat, no backpack"
0145,"female, white t-shirt, black shorts, sandals, black crossbody bag"
0146,"male, t-shirt, teal, shorts, beige, flip-flops, backpack, black, no glasses, no hat"
0147,"female, purple t-shirt, patterned shorts, flat shoes, shoulder bag"
0148,"female, short-sleeved shirt, yellow skirt, white sneakers, red shoulder bag, long dark hair, no glasses, no hat, no backpack"
0149,"male, short-sleeved t-shirt, light green, cargo pants, brown shoes, no visible accessories, no hat, no glasses, no backpack"
0150,"male, white t-shirt, black shorts, brown shoes, no visible accessories, no glasses, no hat, no backpack"
0151,"female, striped shirt, blue shorts, sandals, backpack, no glasses, no hat"
0152,"male, white t-shirt, blue jeans, red shoes, teal backpack, glasses"
0153,"male, white short-sleeved shirt, black trousers, dark-colored shoes, no visible backpack, no visible glasses, no visible hat"
0154,"male, light gray t-shirt, dark blue jeans, no visible footwear, no visible accessories"
0155,"male, blue polo shirt, dark shorts, flip flops, black cap, no visible backpack, no visible glasses"
0156,"male, long-sleeved shirt, black and white, dark pants, dark shoes, no visible backpack, no visible glasses, no visible hat"
0157,"male, white t-shirt, dark shorts, dark flip-flops, no visible backpack, no visible glasses, no visible hat"
0158,"female, long-sleeved top, blue, black pants, white sneakers, dark hair, no visible accessories, no glasses, no hat, no backpack"
0159,"male, dark grey t-shirt, grey shorts, black sneakers, black backpack, no visible glasses, no visible hat"
0160,"female, white t-shirt, dark blue shorts, barefoot, orange shoulder bag, pink plastic bag, black bag"
0161,"male, green t-shirt, dark blue shorts with white stripe, black sneakers, backpack, no glasses, no hat"
0162,"female, dress, light pink, cardigan, beige, cap, sunglasses, sandals"
0163,"male, gray t-shirt, light gray pants, white sneakers, no visible accessories, no glasses, no hat, no backpack"
0164,"female, black short-sleeved shirt, grey skirt, black shoes, no visible accessories, no hat, no glasses, no backpack"
0165,"female, black short-sleeved t-shirt with colorful graphic, blue jeans, flat shoes, no visible accessories, no glasses, no hat, no backpack"
0166,"male, short-sleeved shirt, light gray, trousers, dark gray, barefoot, glasses, no backpack, no hat"
0167,"female, white short-sleeved shirt, dark green shorts, black sneakers, black backpack, no visible glasses, no visible hat"
0168,"female, dark brown short-sleeved top, light gray and white striped shorts, flip flops, red backpack"
0169,"male, red short-sleeved shirt, dark shorts, no visible footwear, black backpack"
0170,"male, white t-shirt, dark pants, white sneakers, no visible accessories, no glasses, no hat, no backpack"
0171,"female, white t-shirt, dark grey capri pants, light-colored flip flops, red shoulder bag, no visible glasses, no visible hat"
0172,"male, white t-shirt with black circular graphic, dark gray shorts, white sneakers, black backpack, glasses"
0173,"female, white short-sleeved top, light beige shorts, light beige flat shoes, red shoulder bag, long dark hair, no visible glasses or hat"
0174,"male, short-sleeved t-shirt, grey and black color block design, denim shorts, white sneakers, dark hair, no visible backpack, no visible glasses, no visible hat"
0175,"female, white short-sleeved top, black pants, white sneakers, black backpack, long brown hair, no visible glasses, no visible hat"
0176,"male, t-shirt, dark blue, jeans, dark-colored shoes, no visible accessories, no glasses, no hat"
